pl_name,pl_letter,pl_rade,pl_masse,pl_dens,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_spectype,disc_year,discoverymethod,disc_facility,tran_flag,ra,dec,planet_size_class,discovery_era,habitable_candidate
WASP-39 b,b,14.235,88.989,0.186,4.055259,,,5400.0,0.895,0.93,,2011,Transit,SuperWASP,1,217.3266477,-3.4444994,Gas Giant,2010–2015,False
HAT-P-1 b,b,13.921578,169.08556,0.345,4.46543,1306.0,,5975.0,1.135,1.133,,2006,Transit,HATNet,1,344.4453632,38.674919,Gas Giant,Pre-2010,False
HR 8799 d,d,13.0,3000.0,,37000.0,,,,,1.5,A5 V,2008,Imaging,W. M. Keck Observatory,0,346.8701486,21.1340376,Gas Giant,Pre-2010,False
GJ 3470 b,b,4.2,14.0,1.07,3.33714,615.0,,3600.0,0.503,0.541,M1.5,2012,Radial Velocity,La Silla Observatory,1,119.7735021,15.391209,Neptune-like,2010–2015,False
WASP-62 b,b,15.581,181.155,0.279,4.411953,,,6280.0,1.28,1.25,,2012,Transit,SuperWASP,1,87.1398205,-63.9883286,Gas Giant,2010–2015,False
GJ 1214 b,b,2.27,6.43,3.03,1.58040482,,,,0.21,0.157,,2009,Transit,MEarth Project,1,258.8313991,4.9606795,Neptune-like,Pre-2010,False
WASP-96 b,b,13.45,152.55,0.37,3.4252602,1285.0,,5540.0,1.05,1.06,G8,2014,Transit,SuperWASP,1,1.0465696,-47.3606352,Gas Giant,2010–2015,False
GJ 3470 b,b,3.88,13.73,1.18,3.3366487,604.0,,3652.0,0.48,0.51,,2012,Radial Velocity,La Silla Observatory,1,119.7735021,15.391209,Neptune-like,2010–2015,False
WASP-17 b,b,19.5,156.0,0.122,3.7354417,,,6550.0,1.38,1.2,,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
HAT-P-11 b,b,4.73,25.743,1.33,4.8878162,878.0,,4780.0,0.75,0.81,K4,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
GJ 1214 b,b,2.678,6.55,1.87,1.5803925,555.0,,3026.0,0.211,0.157,,2009,Transit,MEarth Project,1,258.8313991,4.9606795,Neptune-like,Pre-2010,False
HAT-P-1 b,b,13.731,166.536,0.345,4.4652934,,,,1.115,1.133,G0 V,2006,Transit,HATNet,1,344.4453632,38.674919,Gas Giant,Pre-2010,False
HAT-P-1 b,b,14.784671,166.86075,0.282,4.46529976,1322.0,,5980.0,1.174,1.151,,2006,Transit,HATNet,1,344.4453632,38.674919,Gas Giant,Pre-2010,False
HR 8799 b,b,13.0,2000.0,,170000.0,,,,,1.5,A5 V,2008,Imaging,Gemini Observatory,0,346.8701486,21.1340376,Gas Giant,Pre-2010,False
GJ 1214 b,b,2.847086,6.261251,1.49,1.58040456,,,3026.0,0.216,0.15,,2009,Transit,MEarth Project,1,258.8313991,4.9606795,Neptune-like,Pre-2010,False
HR 8799 b,b,6.7254,,,,1200.0,,7204.58,1.49338,1.61,,2008,Imaging,Gemini Observatory,0,346.8701486,21.1340376,Gas Giant,Pre-2010,False
HR 8799 c,c,11.209,,,,1200.0,,7204.58,1.49338,1.61,,2008,Imaging,Gemini Observatory,0,346.8701486,21.1340376,Gas Giant,Pre-2010,False
HR 8799 e,e,10.0881,,,,1300.0,,7204.58,1.49338,1.61,,2010,Imaging,W. M. Keck Observatory,0,346.8701486,21.1340376,Gas Giant,2010–2015,False
GJ 1214 b,b,2.61,,,1.5804043,,,,0.201,,,2009,Transit,MEarth Project,1,258.8313991,4.9606795,Neptune-like,Pre-2010,False
HAT-P-1 b,b,14.79588,168.4499,,4.46,1320.0,,6051.18,1.17839,1.126,,2006,Transit,HATNet,1,344.4453632,38.674919,Gas Giant,Pre-2010,False
WASP-17 b,b,21.18501,162.0933,,3.73,1740.0,,6548.0,1.57323,1.354,,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
HAT-P-11 b,b,4.449973,26.69772,1.68,4.88781501,838.0,,4780.0,0.695,0.812,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
WASP-43 b,b,10.42,572.1,2.9,0.8,1350.0,,4400.0,,,K7 V,2011,Transit,SuperWASP,1,154.9081869,-9.8064431,Gas Giant,2010–2015,False
WASP-39 b,b,14.23543,88.9924,,4.06,1120.0,,5326.6,1.01342,0.918,,2011,Transit,SuperWASP,1,217.3266477,-3.4444994,Gas Giant,2010–2015,False
K2-25 b,b,3.43,,,3.484552,,,3180.0,0.295,0.294,M4.5,2015,Transit,K2,1,63.2739346,15.2477027,Neptune-like,2010–2015,False
WASP-17 b,b,22.261074,143.97699,,3.735433,,,6650.0,1.579,1.2,F4,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
HAT-P-1 b,b,14.784671,168.13207,0.358,4.4652968,1322.0,,5980.0,,,,2006,Transit,HATNet,1,344.4453632,38.674919,Gas Giant,Pre-2010,False
HAT-P-11 b,b,4.71,,,4.887802706,,,4653.0,0.74,0.81,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
HD 3167 b,b,1.8,,,0.959628,,,,0.88,,,2016,Transit,K2,1,8.7401487,4.3807215,Super-Earth,2016+,False
HD 3167 c,c,3.0,,,29.839835,,,,0.88,,,2016,Transit,K2,1,8.7401487,4.3807215,Neptune-like,2016+,False
HD 3167 b,b,1.62377492,,,0.959665,,,5366.0,0.836616,0.89032,,2016,Transit,K2,1,8.7401487,4.3807215,Super-Earth,2016+,False
HAT-P-11 b,b,4.36,,,4.887802443,,,4780.0,0.683,0.809,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
HAT-P-11 b,b,4.737,,,,,100.77,4864.0,0.75,,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
HAT-P-11 b,b,4.81987,28.6047,,4.88782,,,4708.0,0.77,0.88,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
WASP-17 b,b,20.96083,247.9074,,3.73543,,,6550.0,1.49,2.28,,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
WASP-62 b,b,14.79588,165.2716,,4.41195,,,6230.0,1.23,1.11,,2012,Transit,SuperWASP,1,87.1398205,-63.9883286,Gas Giant,2010–2015,False
KELT-7 b,b,17.9344,441.7837,,2.73477,,,6768.0,1.81,1.76,,2015,Transit,KELT,1,78.2955912,33.3179532,Gas Giant,2010–2015,False
KELT-7 b,b,17.183397,406.8224,0.442,2.7347749,2048.0,,6789.0,1.732,1.535,F,2015,Transit,KELT,1,78.2955912,33.3179532,Gas Giant,2010–2015,False
GJ 3470 b,b,4.32,14.1,0.94,3.336649,,,,0.526,0.557,,2012,Radial Velocity,La Silla Observatory,1,119.7735021,15.391209,Neptune-like,2010–2015,False
WASP-39 b,b,14.930388,89.94589,0.16,4.0552765,,,,0.918,,,2011,Transit,SuperWASP,1,217.3266477,-3.4444994,Gas Giant,2010–2015,False
HD 3167 c,c,2.83066164,,,29.844982,,,5366.0,0.836616,0.89032,,2016,Transit,K2,1,8.7401487,4.3807215,Neptune-like,2016+,False
WASP-103 b,b,18.450014,467.2101,0.41,,2489.0,,,1.413,1.205,,2014,Transit,SuperWASP,1,249.3148604,7.1833758,Gas Giant,2010–2015,False
WASP-17 b,b,21.655788,151.60491,0.082,3.7354845,1755.0,,,1.583,1.286,,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
