pl_name,pl_rade,pl_orbper,sy_snum,sy_pnum,disc_year
WASP-39 b,14.235,4.055259,1,1,2011
HAT-P-1 b,13.921578,4.46543,2,1,2006
HR 8799 d,13.0,37000.0,1,4,2008
GJ 3470 b,4.2,3.33714,1,1,2012
WASP-62 b,15.581,4.411953,1,1,2012
GJ 1214 b,2.27,1.58040482,1,1,2009
WASP-96 b,13.45,3.4252602,1,1,2014
GJ 3470 b,3.88,3.3366487,1,1,2012
WASP-17 b,19.5,3.7354417,1,1,2009
HAT-P-11 b,4.73,4.8878162,1,2,2008
GJ 1214 b,2.678,1.5803925,1,1,2009
HAT-P-1 b,13.731,4.4652934,2,1,2006
HAT-P-1 b,14.784671,4.46529976,2,1,2006
HR 8799 b,13.0,170000.0,1,4,2008
GJ 1214 b,2.847086,1.58040456,1,1,2009
HR 8799 b,6.7254,,1,4,2008
HR 8799 c,11.209,,1,4,2008
HR 8799 e,10.0881,,1,4,2010
GJ 1214 b,2.61,1.5804043,1,1,2009
HAT-P-1 b,14.79588,4.46,2,1,2006
WASP-17 b,21.18501,3.73,1,1,2009
HAT-P-11 b,4.449973,4.88781501,1,2,2008
WASP-43 b,10.42,0.8,1,1,2011
WASP-39 b,14.23543,4.06,1,1,2011
K2-25 b,3.43,3.484552,1,1,2015
WASP-17 b,22.261074,3.735433,1,1,2009
HAT-P-1 b,14.784671,4.4652968,2,1,2006
HAT-P-11 b,4.71,4.887802706,1,2,2008
HD 3167 b,1.8,0.959628,1,4,2016
HD 3167 c,3.0,29.839835,1,4,2016
HD 3167 b,1.62377492,0.959665,1,4,2016
HAT-P-11 b,4.36,4.887802443,1,2,2008
HAT-P-11 b,4.737,,1,2,2008
HAT-P-11 b,4.81987,4.88782,1,2,2008
WASP-17 b,20.96083,3.73543,1,1,2009
WASP-62 b,14.79588,4.41195,1,1,2012
KELT-7 b,17.9344,2.73477,1,1,2015
KELT-7 b,17.183397,2.7347749,1,1,2015
GJ 3470 b,4.32,3.336649,1,1,2012
WASP-39 b,14.930388,4.0552765,1,1,2011
HD 3167 c,2.83066164,29.844982,1,4,2016
WASP-103 b,18.450014,,1,1,2014
WASP-17 b,21.655788,3.7354845,1,1,2009
WASP-17 b,22.317119,3.735438,1,1,2009
GJ 3470 b,4.83,3.33665,1,1,2012
HD 3167 b,1.557,0.959628,1,4,2016
HD 3167 c,2.85,29.8454,1,4,2016
WASP-17 b,19.582123,3.735438,1,1,2009
GJ 3470 b,4.57,3.3366496,1,1,2012
HD 3167 b,1.7,0.959641,1,4,2016
HD 3167 c,3.01,29.8454,1,4,2016
HD 3167 c,2.86,29.83832,1,4,2016
WASP-62 b,15.58051,4.411953,1,1,2012
WASP-96 b,13.4508,3.4252602,1,1,2014
WASP-17 b,22.317119,3.7354845,1,1,2009
WASP-39 b,14.23543,4.0552947,1,1,2011
WASP-43 b,11.612524,0.81347437,1,1,2011
HAT-P-1 b,13.921578,4.46529976,2,1,2006
WASP-103 b,17.127352,0.925542,1,1,2014
HR 8799 e,13.11453,,1,4,2010
HAT-P-11 b,4.68,4.88780026,1,2,2008
HD 3167 b,1.626,0.96,1,4,2016
WASP-39 b,14.336311,4.0552941,1,1,2011
HAT-P-11 b,4.84,4.887802706,1,2,2008
HAT-P-11 b,4.84,4.887802706,1,2,2008
HD 63433 c,2.57342831,20.54381533218,1,3,2020
WASP-62 b,15.02006,4.41194,1,1,2012
NGTS-10 b,13.506845,0.7668944,1,1,2020
GJ 3470 b,3.88,3.336649,1,1,2012
HIP 67522 b,10.07,6.959503,1,2,2020
K2-25 b,3.44,3.48456408,1,1,2015
WASP-96 b,14.37529211,3.42525631341,1,1,2014
TOI-283 b,2.01411,17.6174652,1,1,2025
HAT-P-1 b,14.5331,4.4652986,2,1,2006
WASP-17 b,21.2315,3.7354838,1,1,2009
KELT-7 b,17.805,2.7347651,1,1,2015
GJ 3470 b,4.13050781,3.33665106329,1,1,2012
HAT-P-11 b,5.29152,4.8878037,1,2,2008
HD 17156 b,12.3299,21.21663,1,1,2007
HD 95338 b,4.27174254,55.082694,1,1,2020
HD 17156 b,11.937585,21.216398,1,1,2007
HD 3167 b,1.574,0.959632,1,4,2016
HD 3167 c,2.74,29.84622,1,4,2016
COCONUTS-2 b,12.44196858,402000000.0,1,1,2021
HD 63433 b,2.15,7.10793,1,3,2020
HD 63433 c,2.67,20.5453,1,3,2020
HR 8799 c,13.0,69000.0,1,4,2008
TOI-269 b,2.94204396,3.69771670923,1,1,2021
HD 3167 b,1.627,0.95965428,1,4,2016
HD 3167 c,2.923,29.8464948,1,4,2016
HD 3167 b,1.67,0.959641,1,4,2016
HD 63433 c,2.71,20.5456,1,3,2020
HIP 67522 b,9.38005266,6.9593972138,1,2,2020
TOI-4201 b,13.67495645,3.5819194,1,1,2023
TOI-4201 b,12.66614819,3.5819134,1,1,2023
Kepler-293 b,2.89,19.25405306,1,2,2014
K2-222 b,2.35,15.38857,1,1,2018
Kepler-549 d,3.65,24.61482073,1,3,2023
Kepler-395 b,0.78,7.05427318,1,2,2014
Kepler-172 d,2.726,,1,4,2014
Kepler-1515 b,9.33,214.3114164,1,1,2016
Kepler-1834 b,1.288,4.602996,1,2,2021
Kepler-1162 b,1.94,,1,2,2016
Kepler-703 b,5.4,4.5835184,1,1,2016
TOI-5126 b,4.40571,5.4589863,1,2,2023
Kepler-1471 b,1.32,3.63899398,1,2,2016
WASP-22 b,13.439591,3.53273064,1,1,2010
Kepler-1644 b,1.8,21.0907758,1,1,2016
Kepler-50 b,1.56,7.8128584,1,2,2012
Kepler-325 d,2.62,38.7149617,1,3,2014
K2-5 b,2.4,5.7348462,1,2,2015
KOI-1257 b,10.54,86.647661,2,1,2014
Kepler-82 e,2.3,5.902209,1,5,2014
TOI-257 b,6.37909616,18.38770808538,1,1,2021
Kepler-1369 b,2.9,25.87333,1,1,2016
Kepler-697 b,3.96,3.709870645,1,1,2016
Kepler-1466 b,1.38,31.1750448,1,1,2016
WASP-47 b,12.3,4.159221,1,4,2012
Kepler-634 b,1.89,5.16950177,1,1,2016
Kepler-1889 b,2.59,37.3037619,1,1,2021
KOI-1257 b,7.62,86.64763676,2,1,2014
Kepler-718 b,13.38,2.052349905,1,1,2016
Kepler-1668 b,4.3,15.43400996,1,1,2020
Kepler-289 b,2.67,34.5439452,1,4,2014
Kepler-1772 b,2.69,3.215106337,1,1,2021
Kepler-511 c,3.68,26.62946276,1,2,2021
Kepler-684 b,3.36,6.770302008,1,1,2016
Kepler-393 b,1.29,9.182417,1,2,2014
Kepler-447 b,6.2,7.7942995,1,1,2015
Kepler-202 b,1.53,4.069425638,1,2,2014
Kepler-42 b,0.962,,1,3,2011
Kepler-1499 b,1.187,,1,1,2016
HD 63454 b,12.31,2.818049,1,1,2005
Kepler-908 b,1.07,1.340597468,3,1,2016
Kepler-60 d,1.76,11.8984932,1,3,2012
Kepler-116 b,3.43,5.968717469,1,2,2014
TOI-654.01,2.37126,1.5275657,1,1,2024
WASP-133 b,13.56289,2.176423,1,1,2016
Kepler-68 b,2.31,5.398763,2,4,2013
Kepler-181 b,1.371,3.137848829,1,2,2014
KELT-15 b,19.50366,3.32944,2,1,2016
Kepler-188 b,1.84,2.06187,1,2,2014
K2-230 b,1.93420564,2.860636,1,1,2018
Kepler-1077 b,2.64,34.3511874,1,1,2016
Kepler-1800 b,0.852,4.56204856,1,1,2021
Kepler-1005 b,1.52,6.49801525,1,1,2016
TOI-3984 A b,7.17236,4.3533211,2,1,2023
Kepler-1890 b,0.84,4.82052932,1,1,2021
K2-139 b,9.26802368,28.382071,1,1,2017
Kepler-1892 b,1.48,6.3312784,1,1,2021
Kepler-1586 b,1.95,15.6049212,1,1,2016
Kepler-183 b,2.19,5.6879831,1,2,2014
HD 21520 b,2.697,25.1292,1,1,2024
Kepler-132 b,1.22,6.178165,2,4,2014
KELT-6 b,13.372,7.8457,1,2,2014
Kepler-1722 b,2.2,9.178475,1,1,2021
Kepler-209 b,2.29,16.08786478,1,2,2014
Kepler-690 b,5.95,7.748094374,1,1,2016
Kepler-280 c,1.84,4.807099588,1,2,2014
TOI-1836 b,8.00321222,20.380799,1,2,2024
K2-21 c,1.53,15.50116,1,2,2015
Kepler-301 c,1.38,5.41908491,1,3,2014
Kepler-107 e,3.07,14.74913518,1,4,2014
Kepler-1509 b,1.91,25.4338197,1,1,2016
WASP-11 b,11.265,3.7224747,3,1,2008
Kepler-568 b,2.11,11.02347475,1,1,2016
WASP-15 b,15.457211,3.7521,1,1,2009
Kepler-99 b,1.812,4.603578042,2,1,2014
Kepler-85 c,2.14,12.513,1,4,2012
K2-3 b,2.078,10.0546535,1,3,2015
Kepler-1898 b,0.93353523,4.765620232,1,1,2021
Kepler-1272 b,2.41,51.1309704,1,1,2016
Kepler-675 b,2.38,2.33743801,1,1,2016
Kepler-454 b,1.88,10.573757029,2,3,2015
K2-240 b,2.0,6.034,1,2,2018
Kepler-1536 b,2.98,364.758031,1,1,2016
HATS-11 b,16.6459863,3.61887686846,1,1,2016
HAT-P-18 b,11.153,5.508023,1,1,2010
Kepler-1248 b,1.04,7.46718958,1,1,2016
Kepler-1514 b,22.02,217.8317626,1,2,2016
Kepler-1886 b,2.58158428,24.2758007,1,1,2021
K2-117 c,2.1,5.443984,1,2,2017
K2-343 c,2.44,7.67689,1,2,2021
Kepler-887 b,1.915,,1,2,2016
Kepler-412 b,13.5,1.720861324,1,1,2014
Kepler-392 b,1.2,5.341788,1,2,2014
TOI-1470 c,2.47,18.08816,1,2,2023
Kepler-132 b,1.22,6.17817366,2,4,2014
WASP-118 b,15.625346,4.0460407,1,1,2016
Kepler-1807 b,2.14,10.86060638,1,1,2021
Kepler-524 c,1.03,1.88897906,1,2,2016
Kepler-1146 b,1.35,2.352265797,1,1,2016
Kepler-1094 b,3.059,,1,1,2016
Kepler-79 b,2.73,13.48458665,1,4,2012
Kepler-223 e,48.785,19.7240891,1,4,2014
Kepler-280 c,2.04,4.807099588,1,2,2014
Kepler-1218 b,1.36,22.9221266,1,1,2016
Kepler-1630 b,2.62,509.997402,1,1,2016
Kepler-1828 b,1.74,10.27377201,1,1,2021
Kepler-1347 b,0.99,14.00947528,1,1,2016
Kepler-32 b,2.25,5.901,1,5,2011
WASP-164 b,12.643752,1.7771255,1,1,2018
K2-24 c,7.5,42.3391,1,2,2016
Kepler-1576 b,1.04,6.98471973,1,1,2016
Kepler-55 e,1.55,4.617534,1,5,2014
Kepler-1748 b,3.3,5.823445,1,1,2021
Kepler-357 c,2.179,,1,3,2014
Kepler-745 b,1.92,9.93143556,1,1,2016
Kepler-32 d,2.5,22.78076945,1,5,2012
K2-331 c,2.5,22.99592,1,2,2021
Kepler-149 c,1.66,55.3285813,1,3,2014
K2-203 b,1.37,9.6897,1,1,2018
WASP-160 B b,12.21781,3.7684952,2,1,2018
Kepler-60 d,1.76,11.8984932,1,3,2012
Kepler-248 c,4.14,16.23947096,1,2,2014
Kepler-1438 b,0.88,2.319426,1,1,2016
Kepler-105 c,1.91,7.125967,1,2,2014
Kepler-716 c,1.78,3.96996298,1,2,2020
Kepler-259 c,2.71,36.9249531,1,2,2014
K2-19 b,6.59307857,7.9177855286,1,3,2015
Kepler-415 b,1.61,4.17634525,1,2,2014
Kepler-1470 b,1.15,16.2951259,1,1,2016
Kepler-31 d,3.9,87.6451,1,3,2014
Kepler-109 c,2.65,21.22265,1,2,2014
